"Name","Kind","Refs","DefFiles","FirstFile","FirstLine","AnyPartial"
"BlockPlaceModule","class","1","MiniRPG.Shared\Core\World\BlockPlaceModule.cs","MiniRPG.Shared\Core\World\BlockPlaceModule.cs","9","False"
"DailySummaryBuilder","class","1","MiniRPG.Shared\Core\Event\DailySummaryBuilder.cs","MiniRPG.Shared\Core\Event\DailySummaryBuilder.cs","20","False"
"DialogSet","class","1","MiniRPG.Shared\Core\Data\DialogTypes.cs","MiniRPG.Shared\Core\Data\DialogTypes.cs","101","False"
"ENetSocketShutdown","enum","1","MiniRPG.Shared\Vendor\ENet\include\enet.cs","MiniRPG.Shared\Vendor\ENet\include\enet.cs","63","False"
"IHasId","interface","1","MiniRPG.Shared\Core\Data\PresetDB.cs","MiniRPG.Shared\Core\Data\PresetDB.cs","475","False"
"InMemoryLobbyService","class","1","MiniRPG.Shared\Core\Multiplayer\LobbyService.cs","MiniRPG.Shared\Core\Multiplayer\LobbyService.cs","102","False"
"ITagSourcePolymorphic","interface","1","MiniRPG.Shared\Core\Data\TagSystem.cs","MiniRPG.Shared\Core\Data\TagSystem.cs","128","False"
"NoopLocalServerLauncher","class","1","Module\Network\NoopLocalServerLauncher.cs","Module\Network\NoopLocalServerLauncher.cs","8","False"
"PanelTransition","class","1","Module\Panel\PanelTransition.cs","Module\Panel\PanelTransition.cs","13","False"
"ProtocolErrorCodeExtensions","class","1","MiniRPG.Shared\Core\Multiplayer\ProtocolErrorCodeExtensions.cs","MiniRPG.Shared\Core\Multiplayer\ProtocolErrorCodeExtensions.cs","5","False"
"PzWorldVisualRegistryStore","class","1","MiniRPG.Shared\Core\Data\PzWorldVisualRegistry.cs","MiniRPG.Shared\Core\Data\PzWorldVisualRegistry.cs","215","False"
"RecipeTagIds","class","1","MiniRPG.Shared\Core\Data\FacilityModels.cs","MiniRPG.Shared\Core\Data\FacilityModels.cs","114","False"
