"original_path","suggested_basename","suggested_name_zh","description","confidence","notes"
"appliances_misc_01/appliances_misc_01_0.png","portable_generator_red_01.png","红色便携发电机","红色金属便携发电机 单体道具","high","按发电机归类 不按电池装置归类"
"Fire_01/Fire_01_0.png","fire_small_loop_frame_00.png","小型循环火焰 帧 00","小型火焰循环 第 1 帧","high",""
"Fire_01/Fire_01_1.png","fire_small_loop_frame_01.png","小型循环火焰 帧 01","小型火焰循环 第 2 帧","high",""
"Fire_01/Fire_01_2.png","fire_small_loop_frame_02.png","小型循环火焰 帧 02","小型火焰循环 第 3 帧","high",""
"Fire_01/Fire_01_3.png","fire_small_loop_frame_03.png","小型循环火焰 帧 03","小型火焰循环 第 4 帧","high",""
"Fire_02/Fire_02_0.png","fire_medium_loop_frame_00.png","中型循环火焰 帧 00","中型火焰循环 第 1 帧","high",""
"Fire_02/Fire_02_1.png","fire_medium_loop_frame_01.png","中型循环火焰 帧 01","中型火焰循环 第 2 帧","high",""
"Fire_02/Fire_02_2.png","fire_medium_loop_frame_02.png","中型循环火焰 帧 02","中型火焰循环 第 3 帧","high",""
"Fire_02/Fire_02_3.png","fire_medium_loop_frame_03.png","中型循环火焰 帧 03","中型火焰循环 第 4 帧","high",""
"Fire_03/Fire_03_0.png","fire_large_loop_frame_00.png","大型循环火焰 帧 00","大型火焰循环 第 1 帧","high",""
"Fire_03/Fire_03_1.png","fire_large_loop_frame_01.png","大型循环火焰 帧 01","大型火焰循环 第 2 帧","high",""
"Fire_03/Fire_03_2.png","fire_large_loop_frame_02.png","大型循环火焰 帧 02","大型火焰循环 第 3 帧","high",""
"Fire_03/Fire_03_3.png","fire_large_loop_frame_03.png","大型循环火焰 帧 03","大型火焰循环 第 4 帧","high",""
"trash_01/trash_01_0.png","ground_trash_scraps_small_01.png","地面小碎垃圾 01","零散纸片和小杂物","medium",""
"trash_01/trash_01_1.png","ground_debris_strip_dark_01.png","深色带状碎片 01","细长深色碎片或木条","medium",""
"trash_01/trash_01_2.png","ground_trash_paper_dead_bird_01.png","纸张与死鸟垃圾 01","散纸和小杂物夹带一只死鸟","high","死鸟特征较明显"
"trash_01/trash_01_3.png","ground_trash_scraps_small_02.png","地面小碎垃圾 02","小块彩色纸片和包装碎片","medium",""
"trash_01/trash_01_4.png","ground_rubble_strip_01.png","带状瓦砾碎片 01","一串散落的碎石或瓦砾","medium",""
"trash_01/trash_01_5.png","ground_trash_small_dark_object_01.png","深色小圆碎物 01","深色小圆形地面杂物","low","具体材质不确定"
"trash_01/trash_01_6.png","ground_dead_bird_side_01.png","侧卧死鸟 01","灰蓝色侧卧死鸟","high",""
"trash_01/trash_01_7.png","ground_trash_green_scrap_01.png","绿色小碎垃圾 01","绿色小型碎布或垃圾块","medium",""
"trash_01/trash_01_8.png","ground_trash_brown_clump_01.png","棕色垃圾小堆 01","棕色小堆状垃圾或残渣","medium",""
"trash_01/trash_01_9.png","ground_debris_dark_strip_02.png","深色条状碎片 02","深色细长条状地面碎片","low","可能是枝条或管状物"
